date,bibref,method_category,sentence
2012,pierceKeyFactorsSuccess2012,No specific method identified,Key Factors in the Success of an Organization's Information Security Culture: A Quantitative Study and Analysis
2012,pivaEffectsRecession20082012,No specific method identified,The Effects of the Recession of 2008 on Manufacturing and Logistics Strategies of International Companies: The Case Study of East West Manufacturing
2012,ruteranaInformationCommunicationsTechnology2012,No specific method identified,Information and Communications Technology (ICT) and Pupils Academic Performance in Selected Primary Schools in Rwanda
2012,sayed-ahmedEngineeringPublicPolicy2012,No specific method identified,Engineering Public Policy for Eco-Friendly Sip Houses
2012,schultzQuantificationEvolutionResilience2012,No specific method identified,The Quantification and Evolution of Resilience in Integrated Coastal Systems
2012,seguraOptimisationMonitoringNetworks2012,No specific method identified,Optimisation of Monitoring Networks for Water Systems
2012,seltzerPrivacyOptionValue2012,Real Options,"Privacy, Option Value, and Feedback"
2012,semianiakaRoleGlobalData2012,No specific method identified,The Role of Global Data Identification Standards for Supply Chain Visibility: The Case of GS1
2012,shachmuroveChemicalReactorsHold2012,No specific method identified,Do Chemical Reactors Hold the Solution for Global Economic Crises?
2012,srinandpholPerformanceMeasurementReverse2012,No specific method identified,Performance Measurement for Reverse Logistic Processes (Remanufacturing): A Review and Future Research Needs
2012,steinDecisionMakingImplementation2012,No specific method identified,Decision Making with Implementation Dependent Feedback
2012,swiatkiewicz-mosnyHowMuchEnergy2012,No specific method identified,How Much Energy in Energy Policy? The Media on Energy Problems in Developing Countries (with the Example of Poland)
2012,syedContinuumExcludabilityLimits2012,No specific method identified,The Continuum of Excludability and the Limits of Patents
2012,tavaresIndexingPortugueseHTA2012,No specific method identified,S for Indexing In Portuguese: HTA Para Sustentabilidade Dos Sistemas de Sa\'ude Livro de Resumos: HTAi 8º Encontro Anual In Spanish: HTA Para La Sostenibilidad de Los Sistemas de Salud Libro de Res\'umenes: HTAi 8º Reuni\'on Anual
2012,temelMethodologyInformationSystem2012,No specific method identified,A Methodology for Information System Formation and Performance
2012,vanderdriftSolvingBullwhipEffect2012,Probabilistic Methods,Solving the Bullwhip Effect in Supply Networks by Incentivizing Behaviour through Decentralized Forecast Accuracy Discount Agreements: A Simulation Case Study within the Supply Chain of the Technische Unie and Legrand Nederland
2012,vangestelGlaucomaManagementEconomic2012,Probabilistic Methods,Glaucoma Management: Economic Evaluations Based on a Patient Level Simulation Model
2012,veryForgottenEconomicActors2012,No specific method identified,"Forgotten Economic Actors How Pirates, Mafias and Other Illegitimate Firms Shape Economic Systems and Competition"
2012,abrahamBridgingGapsHandoffs2012,No specific method identified,Bridging Gaps in Handoffs: A Continuity of Care Based Approach
2012,agusLeanProductionSupply2012,No specific method identified,Lean Production Supply Chain Management as Driver towards Enhancing Product Quality and Business Performance: Case Study of Manufacturing Companies in Malaysia
2012,aksoyDecisionSupportSystem2012,Expert Systems and AI,A Decision Support System for Demand Forecasting in the Clothing Industry
2012,alexanderIndividualOrganizationalCharacteristics2012,No specific method identified,Individual and Organizational Characteristics Influencing Event Planners' Perceptions of Information Content and Channel Choice
2012,andersonAmbiguityAversionMultiarmed2012,Robust Decision Making,Ambiguity Aversion in Multi-Armed Bandit Problems
2012,andreoniDivergingOpinions2012,No specific method identified,Diverging Opinions
2012,andrewsVerticalStrategicAlignment2012,No specific method identified,Vertical Strategic Alignment and Public Service Performance
2012,angelesPurduesRFIDSupply2012,No specific method identified,Purdue's RFID Supply Chain for e-Pedigree Compliance: Applying the Technology-Organisation-Environment (TOE) Framework
2012,anwarCompetitiveInsuranceMarket2012,No specific method identified,Competitive Insurance Market in the Presence of Ambiguity
2012,aqeelUsePharmacoeconomicEvidence2012,No specific method identified,The Use of Pharmacoeconomic Evidence to Support Formulary Decision Making in Saudi Arabia: Methodological Recommendations
2012,ashbyPilotRandomisedControlled2012,No specific method identified,A Pilot Randomised Controlled Trial of Negative Pressure Wound Therapy to Treat Grade III/IV Pressure Ulcers [ISRCTN69032034]
2012,awasthyUnderstandingRolePrior2012,Bayesian Methods,Understanding the Role of Prior Product Knowledge to Information Search: An Application of Process Theory to the Indian Market
2012,bacchettiSparePartsClassification2012,No specific method identified,Spare Parts Classification and Demand Forecasting for Stock Control: Investigating the Gap between Research and Practice
2012,badoleResearchOpportunitiesSupply2012,No specific method identified,Research and Opportunities in Supply Chain Modeling: A Review
2012,bahinipatiFrameworkSemiconductorIndustry2012,No specific method identified,A Framework for Semiconductor Industry Supply Chain Planning: Perspectives of Intelligent Enterprise
2012,bakerValueBetterInformation2012,Delphi and Expert Judgment,Expert elicitations are a promising method for determining how R\&D investments are likely to have an impact on technological advance in climate change energy technologies
2012,balanIdentifyingTeachingMethods2012,No specific method identified,Identifying Teaching Methods That Engage Entrepreneurship Students
2012,baldwinImpactModularityIntellectual2012,No specific method identified,The Impact of Modularity on Intellectual Property and Value Appropriation
2012,ballariValueInformationMobility2012,Probabilistic Methods,Value of Information and Mobility Constraints for Sampling with Mobile Sensors
2012,barkerCanCompanyfundManager2012,No specific method identified,Can Company-Fund Manager Meetings Convey Informational Benefits? Exploring the Rationalisation of Equity Investment Decision Making by UK Fund Managers
2012,barnesAiNicta2012,No specific method identified,Ai Nicta
2012,barrenaAbstractionProductCategories2012,No specific method identified,Abstraction and Product Categories as Explanatory Variables for Food Consumption
2012,bartonBayesianNetworksEnvironmental2012,Bayesian Methods,Bayesian Networks in Environmental and Resource Management
2012,basuPrivateManufacturersThresholds2012,No specific method identified,Private Manufacturers Thresholds to Invest in Comparative Effectiveness Trials
2012,baylissDoesResearchInformation2012,No specific method identified,Does Research Information Meet the Needs of Stakeholders? Exploring Evidence Selection in the Global Management of Invasive Species
2012,beldadCueTwoIll2012,No specific method identified,A Cue or Two and I'll Trust You: Determinants of Trust in Government Organizations in Terms of Their Processing and Usage of Citizens' Personal Information Disclosed Online
2012,bellDPSIRProblemStructuring2012,No specific method identified,DPSIR= a Problem Structuring Method? An Exploration from the ``Imagine'' Approach
2012,ben-assuliAssessingPerceptionInformation2012,Expert Systems and AI,Assessing the Perception of Information Components in Financial Decision Support Systems
2012,ben-assuliUsingElectronicMedical2012,No specific method identified,Using Electronic Medical Record Systems for Admission Decisions in Emergency Departments: Examining the Crowdedness Effect
2012,ben-davidSupplierRankingMultialternative2012,No specific method identified,Supplier Ranking by Multi-Alternative Proposal Analysis for Agile Projects
2012,benningCombiningIndividuallevelDiscrete2012,No specific method identified,Combining Individual-Level Discrete Choice Experiment Estimates and Costs to Inform Health Care Management Decisions about Customized Care: The Case of Follow-up Strategies after Breast Cancer Treatment
2012,berchiallaIntegratingStressrelatedVentricular2012,Bayesian Methods,Integrating Stress-Related Ventricular Functional and Angiographic Data in Preventive Cardiology: A Unified Approach Implementing a Bayesian Network
2012,bertuglia5TransportationCommunications2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,bertuglia5TransportationCommunications2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,beyth-maromTeachingDecisionMaking2012,No specific method identified,Teaching Decision Making to Adolescents: A Critical Review
2012,bhattacharyaImpactRFIDRetail2012,No specific method identified,Impact of RFID on the Retail Value Chain: An Exploratory Study Using a Mixed Method Approach
2012,bhushanCapturingStructuralComplexity2012,Probabilistic Methods,"Capturing Structural Complexity of Innovation Diffusion through System Dynamics: A Discussion on Model Development, Calibration, and Simulation Results"
2012,biedermannDecisiontheoreticAnalysisForensic2012,Probabilistic Methods,Decision-Theoretic Analysis of Forensic Sampling Criteria Using Bayesian Decision Networks
2012,biedermannDecisiontheoreticAnalysisForensic2012,Bayesian Methods,Decision-Theoretic Analysis of Forensic Sampling Criteria Using Bayesian Decision Networks
2012,biedermannDecisiontheoreticAnalysisForensic2012,Decision Trees and Networks,Decision-Theoretic Analysis of Forensic Sampling Criteria Using Bayesian Decision Networks
2012,birtHarnessingInformationTechnology2012,No specific method identified,Harnessing Information Technology (IT) for Use in Production Agriculture
2012,blackRiskManagementRecoverable2012,Probabilistic Methods,Risk Management for Recoverable Thermal Energy Using a Probabilistic Decision Analysis Approach
2012,blackRiskManagementRecoverable2012,Decision Trees and Networks,Risk Management for Recoverable Thermal Energy Using a Probabilistic Decision Analysis Approach
2012,blayImpactRiskAffect2012,No specific method identified,The Impact of Risk and Affect on Information Search Efficiency
2012,bordleyAssigningResourcesTargets2012,No specific method identified,Assigning Resources and Targets to an Organization's Activities
2012,bradfordGoodEvilCommensurability2012,No specific method identified,Beyond Good and Evil: The Commensurability of Corporate Profits and Human Rights
2012,braziunasMinimaxRegretBased2012,Game Theory,Minimax Regret Based Elicitation of Generalized Additive Utilities
2012,braziunasMinimaxRegretBased2012,Robust Decision Making,Minimax Regret Based Elicitation of Generalized Additive Utilities
2012,brodleyChallengesOpportunitiesApplied2012,Expert Systems and AI,Challenges and Opportunities in Applied Machine Learning
2012,brownManagingIncrementalCommitment2012,No specific method identified,Managing Incremental Commitment: An Analytic Challenge
2012,bubelaSyntheticBiologyConfronts2012,No specific method identified,"Synthetic Biology Confronts Publics and Policy Makers: Challenges for Communication, Regulation and Commercialization"
2012,burchClinicalEffectivenessCosteffectiveness2012,No specific method identified,The Clinical Effectiveness and Cost-Effectiveness of Technologies Used to Visualise the Seizure Focus in People with Refractory Epilepsy Being Considered for Surgery: A Systematic Review and Decision-Analytical Model
2012,buyukozkanCombinedFuzzyAHP2012,Multi-Criteria Decision Analysis,A Combined Fuzzy AHP and Fuzzy TOPSIS Based Strategic Analysis of Electronic Service Quality in Healthcare Industry
2012,buyukozkanCombinedFuzzyAHP2012,Fuzzy Methods,A Combined Fuzzy AHP and Fuzzy TOPSIS Based Strategic Analysis of Electronic Service Quality in Healthcare Industry
2012,campbell-meiklejohnSocialFactorsPreference2012,No specific method identified,Social Factors and Preference Change
